no;id;nama;alamat;lat;lng
1;1;SD Negeri Demakan 1;Jalan Veteran, Demakan, Mojolaban;-75.993.653;1.108.742.405
2;2;SD Negeri Palur 1;Klaruan RT 01 RW 14, Palur, Mojolaban;-75.806.236;110.877.951
3;3;SD Negeri Palur 5;Gerdu RT 02 RW 07, Palur, Mojolaban;-75.725.305;1.108.770.508
4;4;SD Negeri Palur 2;Turisari RT 03 RW 19, Palur, Mojolaban;-7.573.550;110.862.312
5;5;SD Negeri Palur 3;Gerdu RT 02 RW 07, Palur, Mojolaban;-7.607.606;110.980.312
6;6;SD Negeri Cangkol 3;Jalan Mayor Achmadi No.105;-7.438.305;110.865.211
7;7;SD Negeri Laban 2;Jalan Sawokecik, Badran, Mojolaban;-7.598.867;110.842.669
8;8;SD Negeri Plumbon 1;Karang RT 03 RW 07, Plumbon, Mojolaban;-7.588.259;110.854.532
9;9;SD Negeri Demakan 2;Kalipelang RT 01 RW 07, Demakan, Mojolaban;-7.597.288;110.879.797
10;10;SD Negeri Cangkol 2;Cangkol RT 01 RW 08, Cangkol, Mojolaban;-7.616.062;110.879.204
11;11;SD Negeri Gadingan 3;Jetis RT 03 RW 03, Gadingan, Mojolaban;-7.582.118;110.850.255
12;12;SD Negeri Laban 1;Jalan Sawokecik No.1, Laban, Mojolaban;-7.601.599;110.848.463
13;13;SD Negeri Bekonang 3;Sentul RT 02 RW 10, Bekonang, Mojolaban;-7.611.491;110.869.310
14;14;SD Negeri Dukuh 2;Dukuh, Mojolaban;-7.590.198;110.865.282
15;15;SD Negeri Kragilan 2;Kuntungan, Kragilan, Mojolaban;-7.611.268;110.901.869
16;16;SD Negeri Plumbon 2;Plumbon, Mojolaban;-7.360.086;110.596.631
17;17;SD Negeri Gadingan 1;Badran RT 03 RW 04, Gadingan, Mojolaban;-7.583.334;110.847.215
18;18;SD Negeri Klumprit 1;Premban, Klumprit, Mojolaban;-7.611.255;110.885.658
19;19;SD Negeri Klumprit 3;Klumprit, Klumprit, Mojolaban;-7.605.765;110.889.283
20;20;SD Negeri Kragilan 1;Kragilan, Kragilan, Mojolaban;-7.609.360;110.895.444
21;21;SD Negeri Sapen 3;Sapen, Sapen, Mojolaban;-7.590.902;110.910.761
22;22;SD Negeri Joho 2;Joho RT 02 RW 04, Joho, Mojolaban;-7.587.466;110.887.775
23;23;SD Negeri Joho 1;Gondang RT 04 RW 08, Joho, Mojolaban;-7.596.032;110.890.411
24;24;SD Negeri Kragilan 3;Sumuran Wetan RT 02 RW 05, Kragilan, Mojolaban;-7.606.203;110.905.329
25;25;SD Negeri Wirun 5;Sumuran Wetan RT 02 RW 05, Kragilan, Mojolaban;-7.600.120;110.853.029
